username,name,bio,created_at,account_age_days,followers,following,statuses_count,default_profile_image,verified,post_text,label
carla_alves48,Igor Alves,"pai do Theo, torcedor sofredor",2021-02-23 16:00:00,2034,372,397,1413,0,0,"bom dia, cafe e mais um dia de trabalho por aqui no fim deu certo",0
mariana_rocha88,Carla Silva,estudante de enfermagem,2025-06-05 08:00:00,472,762,1086,2307,0,0,"obrigada pelas mensagens de aniversario, gente no mais, tudo tranquilo",0
igor_rocha,Helena Alves,,2023-12-17 04:00:00,1008,87,36,937,0,0,"alguem ai assistiu o jogo de ontem? que segundo tempo no mais, tudo tranquilo (75)",0
lucas_alves,Nara Lima,corredora amadora | 42k,2015-04-08 04:00:00,4183,112,66,609,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal depois conto o resto",0
ana_souza0,Carla Souza,musico nos fins de semana,2018-08-10 14:00:00,2962,126,147,1122,0,0,"terminei de ler o livro que a Carla indicou, valeu a pena recomendo (72)",0
fernanda_silva73,Fernanda Rocha,estudante de enfermagem,2016-02-28 03:00:00,3857,875,1016,1700,0,0,"renda extra? venha ser revendedora comigo, explico tudo https://cutt.ly/0rk04u",0
juliana_alves,Juliana Souza,analista de dados em Belem,2013-07-21 23:00:00,4808,52,70,197,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo que dia (18),0
helena_rocha43,Carla Alves,musico nos fins de semana,2026-08-14 05:00:00,37,10,418,137,0,0,"terminei de ler o livro que a Gustavo indicou, valeu a pena amanha continuo",0
fernanda_lima,Igor Alves,analista de dados em Recife,2015-10-08 09:00:00,4000,301,608,396,0,0,"chuva forte aqui em Recife hoje, transito parado valeu quem ajudou",0
nara_souza,Gustavo Rocha,corredora amadora | 42k,2025-06-15 10:00:00,462,130,222,1010,0,0,"bom dia, cafe e mais um dia de trabalho por aqui enfim (49)",0
gustavo_silva69,Diego Lima,estudante de enfermagem,2015-06-19 19:00:00,4110,244,87,407,0,0,"alguem ai assistiu o jogo de ontem? que segundo tempo no mais, tudo tranquilo",0
diego_rocha9,Lucas Lima,fotografa e mae de dois,2019-09-01 21:00:00,2575,124,37,157,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio bora pra cima (30),0
gustavo_souza,Ana Silva,corredora amadora | 42k,2015-01-29 23:00:00,4251,66,112,805,0,0,"chuva forte aqui em Sao Paulo hoje, transito parado (80)",0
lucas_alves52,Otavio Rocha,corredora amadora | 42k,2026-02-23 12:00:00,209,656,925,1502,0,0,recomendo muito esse restaurante novo no centro de Recife que dia (22),0
helena_silva34,Juliana Alves,analista de dados em Recife,2018-01-01 09:00:00,3184,195,72,263,0,0,recomendo muito esse restaurante novo no centro de Recife ate semana que vem,0
juliana_silva93,Fernanda Alves,professora de historia,2024-07-06 05:00:00,806,1029,1632,1721,0,0,"obrigada pelas mensagens de aniversario, gente depois conto o resto",0
bruno_alves19,Bruno Souza,estudante de enfermagem,2023-09-06 16:00:00,1109,228,429,1352,0,0,"treino feito, 6km hoje. devagar mas chegando que dia (26)",0
lucas_lima82,Eduardo Souza,musico nos fins de semana,2022-08-19 00:00:00,1493,34,25,530,0,0,"treino feito, 6km hoje. devagar mas chegando recomendo",0
eduardo_silva74,Paula Silva,,2020-04-13 08:00:00,2351,18,12,495,1,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal valeu quem ajudou",0
rafael_souza79,Otavio Rocha,estudante de enfermagem,2023-12-04 17:00:00,1020,497,844,1066,0,0,"terminei de ler o livro que a Mariana indicou, valeu a pena recomendo (72)",0
helena_lima,Carla Souza,fotografa e mae de dois,2016-08-09 17:00:00,3693,55,52,35,0,0,"obrigada pelas mensagens de aniversario, gente no fim deu certo (5)",0
igor_alves35,Helena Silva,professora de historia,2015-01-21 03:00:00,4260,387,746,169,0,0,"bom dia, cafe e mais um dia de trabalho por aqui no mais, tudo tranquilo (89)",0
ana_silva,Helena Alves,fotografa e mae de dois,2021-12-13 12:00:00,1742,43,18,1865,0,0,"terminei de ler o livro que a Gustavo indicou, valeu a pena coisa de louco",0
helena_silva71,Bruno Lima,analista de dados em Curitiba,2024-01-14 19:00:00,979,207,297,56,0,0,"bom dia, cafe e mais um dia de trabalho por aqui no mais, tudo tranquilo",0
ganhe6759569,Ana 7712,,2025-10-13 14:52:00,341,17,1568,10815,1,0,Airdrop de cripto liberado! dobre seu investimento em 24h https://cutt.ly/a6x4o4,1
ganhe374635,Ana 7712,link na bio https://encurtador.com.br/xyqj1r,2026-06-03 13:17:00,108,23,1636,4735,1,0,RENDA EXTRA de R$ 300 por dia!!! clique no link da bio e comece hoje https://encurtador.com.br/xyqj1r,1
lucas_souza88,Diego Souza,,2025-09-24 13:00:00,360,1450,453,244,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo no fim deu certo,0
carla_alves,Otavio Souza,,2016-03-09 20:00:00,3846,37,67,536,0,0,opiniao impopular: filme antigo e melhor que remake depois conto o resto (65),0
ana_souza,Rafael Lima,"dev backend, cafe e gatos",2017-10-12 17:00:00,3264,145,309,660,0,0,"chuva forte aqui em Recife hoje, transito parado bora pra cima",0
gustavo_lima,Mariana Souza,analista de dados em Porto Alegre,2019-12-28 09:00:00,2458,115,132,368,0,0,"treino feito, 6km hoje. devagar mas chegando bora pra cima (79)",0
nara_silva57,Lucas Rocha,corredora amadora | 42k,2023-06-17 06:00:00,1191,105,191,2299,0,0,"treino feito, 6km hoje. devagar mas chegando valeu quem ajudou",0
bruno_souza,Eduardo Lima,musico nos fins de semana,2015-09-07 11:00:00,4031,503,571,737,0,0,"obrigada pelas mensagens de aniversario, gente enfim",0
otavio_silva,Bruno Rocha,corredora amadora | 42k,2017-04-18 11:00:00,3442,199,369,234,0,0,"bom dia, cafe e mais um dia de trabalho por aqui ate semana que vem",0
lucas_alves,Igor Rocha,"dev backend, cafe e gatos",2023-05-04 06:00:00,1235,293,513,357,0,0,"terminei de ler o livro que a Otavio indicou, valeu a pena que dia (33)",0
rafael_lima,Carla Souza,analista de dados em Porto Alegre,2019-10-02 14:00:00,2544,71,103,381,0,0,"bom dia, cafe e mais um dia de trabalho por aqui no fim deu certo",0
otavio_lima75,Nara Souza,"dev backend, cafe e gatos",2013-12-22 11:00:00,4655,147,63,2853,0,0,promocao de hoje na loja: cupom de 20% pra quem chegar antes do meio dia,0
igor_silva13,Otavio Souza,fotografa e mae de dois,2021-06-21 21:00:00,1916,268,382,215,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio (17),0
mariana_rocha,Ana Souza,professora de historia,2026-07-07 16:00:00,74,6,402,223,0,0,"treino feito, 6km hoje. devagar mas chegando no fim deu certo (12)",0
otavio_rocha47,Carla Souza,,2021-07-11 07:00:00,1897,380,585,3181,0,0,"terminei de ler o livro que a Nara indicou, valeu a pena amanha continuo",0
fernanda_souza54,Bruno Souza,"pai do Theo, torcedor sofredor",2025-05-31 15:00:00,476,179,216,1455,0,0,"vagas limitadas no curso de bolo caseiro, chama no direct pra reservar",0
gustavo_alves53,Paula Alves,"pai do Theo, torcedor sofredor",2025-02-04 20:00:00,592,49,31,3388,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal",0
eduardo_rocha5,Juliana Silva,fotografa e mae de dois,2018-02-25 13:00:00,3128,928,1443,2686,0,0,"obrigada pelas mensagens de aniversario, gente",0
nara_silva98,Fernanda Alves,analista de dados em Salvador,2018-01-30 16:00:00,3154,167,114,290,0,0,"chuva forte aqui em Salvador hoje, transito parado (26)",0
gustavo_souza98,Rafael Silva,,2024-11-11 21:00:00,677,584,1088,186,0,0,recomendo muito esse restaurante novo no centro de Recife recomendo,0
eduardo_rocha71,Paula Alves,musico nos fins de semana,2012-09-20 01:00:00,5113,151,153,2443,0,0,"treino feito, 6km hoje. devagar mas chegando depois conto o resto (3)",0
carla_silva84,Eduardo Silva,fotografa e mae de dois,2012-11-05 04:00:00,5067,32,53,621,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio bora pra cima,0
mariana_lima84,Lucas Rocha,musico nos fins de semana,2020-12-12 21:00:00,2107,181,377,40,0,0,"terminei de ler o livro que a Otavio indicou, valeu a pena (28)",0
nara_lima,Paula Rocha,fotografa e mae de dois,2020-08-01 12:00:00,2241,1075,2047,696,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio valeu quem ajudou (82),0
fernanda_souza,Igor Souza,fotografa e mae de dois,2024-01-07 07:00:00,987,1322,2618,89,0,0,"obrigada pelas mensagens de aniversario, gente valeu quem ajudou",0
helena_rocha89,Diego Alves,analista de dados em Recife,2026-02-26 20:00:00,205,558,640,276,0,0,"terminei de ler o livro que a Ana indicou, valeu a pena valeu quem ajudou",0
bruno_silva,Nara Souza,corredora amadora | 42k,2026-07-05 08:00:00,77,9,406,255,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo,0
bruno_rocha,Diego Alves,corredora amadora | 42k,2026-09-02 20:00:00,17,19,419,36,0,0,"terminei de ler o livro que a Mariana indicou, valeu a pena bora pra cima",0
igor_alves49,Mariana Alves,corredora amadora | 42k,2025-04-07 17:00:00,530,944,1689,506,0,0,"bom dia, cafe e mais um dia de trabalho por aqui que dia",0
carla_lima27,Bruno Rocha,corredora amadora | 42k,2015-12-21 22:00:00,3925,382,317,424,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal no mais, tudo tranquilo",0
juliana_souza16,Fernanda Silva,"dev backend, cafe e gatos",2018-06-30 17:00:00,3003,183,73,259,0,0,"dica pra quem estuda seguranca: pratique em laboratorio proprio no mais, tudo tranquilo (34)",0
gustavo_lima76,Diego Neves,analista de dados em Curitiba,2021-12-08 17:00:00,1746,85,35,952,1,0,"chuva forte aqui em Recife hoje, transito parado no fim deu certo",1
rafael_lima,Fernanda Souza,fotografa e mae de dois,2023-07-31 12:00:00,1147,46,23,544,0,0,"obrigada pelas mensagens de aniversario, gente no mais, tudo tranquilo",0
otavio_alves81,Mariana Lima,professora de historia,2026-08-16 13:00:00,34,15,422,114,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio bora pra cima (22),0
lucas_souza,Diego Alves,analista de dados em Recife,2016-02-26 17:00:00,3858,176,309,732,0,0,"treino feito, 6km hoje. devagar mas chegando ate semana que vem",0
carla_silva,Nara Rocha,"pai do Theo, torcedor sofredor",2016-12-12 08:00:00,3569,1485,2830,2103,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo bora pra cima,0
ana_silva,Juliana Alves,"pai do Theo, torcedor sofredor",2026-07-30 21:00:00,51,39,479,156,0,0,"treino feito, 6km hoje. devagar mas chegando valeu quem ajudou (36)",0
eduardo_silva,Paula Alves,analista de dados em Salvador,2020-02-08 06:00:00,2416,15,32,142,0,0,"renda extra? venha ser revendedora comigo, explico tudo https://bit.ly/z05b2a",0
eduardo_lima23,Paula Rocha,"pai do Theo, torcedor sofredor",2013-03-06 15:00:00,4945,585,191,537,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo no fim deu certo,0
mariana_alves8,Helena Souza,fotografa e mae de dois,2023-01-28 22:00:00,1330,678,1455,118,1,0,"bom dia, cafe e mais um dia de trabalho por aqui valeu quem ajudou",0
nara_rocha,Otavio Alves,,2019-11-24 18:00:00,2491,440,639,127,0,0,recomendo muito esse restaurante novo no centro de Belem que dia,0
nara_alves,Nara Alves,musico nos fins de semana,2025-03-18 00:00:00,551,266,553,856,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo ate semana que vem,0
lucas_rocha,Igor Rocha,"pai do Theo, torcedor sofredor",2026-08-23 10:00:00,28,3,404,96,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio enfim,0
rafael_alves42,Nara Souza,musico nos fins de semana,2012-10-19 14:00:00,5083,72,110,2174,0,0,"terminei de ler o livro que a Fernanda indicou, valeu a pena amanha continuo",0
carla_alves38,Otavio Alves,"dev backend, cafe e gatos",2020-09-03 17:00:00,2207,148,106,1121,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio coisa de louco (7),0
bruno_rocha,Eduardo Souza,estudante de enfermagem,2013-12-27 18:00:00,4649,632,877,124,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal bora pra cima (56)",0
mariana_alves,Nara Silva,,2012-09-26 01:00:00,5107,293,593,1299,0,0,"vagas limitadas no curso de bolo caseiro, chama no direct pra reservar",0
lucas_lima24,Ana Rocha,analista de dados em Goiania,2022-05-08 12:00:00,1596,168,161,749,0,1,"terminei de ler o livro que a Bruno indicou, valeu a pena ate semana que vem (56)",0
diego_souza42,Bruno Silva,professora de historia,2014-10-01 23:00:00,4371,17,12,263,0,0,recomendo muito esse restaurante novo no centro de Sao Paulo bora pra cima,0
carla_souza1,Paula Lima,professora de historia,2015-12-25 07:00:00,3922,50,53,1522,0,0,"bom dia, cafe e mais um dia de trabalho por aqui bora pra cima",0
rafael_silva79,Otavio Silva,estudante de enfermagem,2018-10-02 12:00:00,2910,482,545,1878,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio no fim deu certo,0
juliana_lima,Mariana Silva,"dev backend, cafe e gatos",2015-03-04 03:00:00,4218,1819,1034,960,1,0,"vagas limitadas no curso de bolo caseiro, chama no direct pra reservar",0
mariana_souza35,Carla Silva,fotografa e mae de dois,2025-03-09 01:00:00,560,192,207,534,0,0,recomendo muito esse restaurante novo no centro de Recife recomendo (16),0
helena_silva87,Juliana Souza,musico nos fins de semana,2026-01-08 21:00:00,254,417,807,910,0,0,recomendo muito esse restaurante novo no centro de Belem depois conto o resto,0
fernanda_rocha31,Igor Rocha,analista de dados em Goiania,2020-05-11 20:00:00,2322,32,59,138,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio que dia (27),0
mariana_lima76,Carla Alves,musico nos fins de semana,2018-05-01 11:00:00,3064,233,359,312,0,0,"chuva forte aqui em Salvador hoje, transito parado amanha continuo",0
mariana_alves15,Gustavo Silva,,2022-02-03 06:00:00,1690,188,202,139,1,0,"treino feito, 6km hoje. devagar mas chegando no mais, tudo tranquilo (67)",0
rafael_souza,Lucas Rocha,musico nos fins de semana,2021-11-18 03:00:00,1767,1323,1871,196,0,0,"terminei de ler o livro que a Nara indicou, valeu a pena ate semana que vem",0
juliana_rocha8,Carla Souza,analista de dados em Goiania,2021-11-20 12:00:00,1765,643,668,718,0,0,"obrigada pelas mensagens de aniversario, gente no mais, tudo tranquilo (55)",0
invest1754925,Renda Extra 24h,,2025-10-13 12:33:00,341,2,1738,13287,1,0,SEGUIDORES GRATIS!!! siga de volta e me chama no whats https://bit.ly/39v4v8,1
bruno_rocha69,Helena Souza,estudante de enfermagem,2016-10-26 01:00:00,3616,1425,1594,578,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo ate semana que vem (59),0
helena_rocha6,Nara Alves,,2019-02-20 02:00:00,2769,30,59,238,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal ate semana que vem",0
lucro6863452,Ganhe 1000,,2026-03-02 12:30:00,201,13,713,5973,1,0,Airdrop de cripto liberado! dobre seu investimento em 24h https://cutt.ly/luzrf6,1
lucas_alves,Rafael Rocha,,2026-06-30 04:00:00,82,3,401,272,0,0,"chuva forte aqui em Goiania hoje, transito parado depois conto o resto (10)",0
otavio_lima,Diego Souza,analista de dados em Salvador,2019-01-21 07:00:00,2799,92,63,583,0,0,"treino feito, 6km hoje. devagar mas chegando que dia",0
otavio_lima,Diego Alves,corredora amadora | 42k,2018-07-10 23:00:00,2993,36,78,36,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal enfim",0
lucas_lima95,Ana Silva,corredora amadora | 42k,2026-07-17 11:00:00,65,3,403,209,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo amanha continuo (24),0
ana_alves24,Juliana Rocha,musico nos fins de semana,2024-10-08 06:00:00,712,294,226,3703,0,0,"bom dia, cafe e mais um dia de trabalho por aqui bora pra cima (41)",0
nara_lima,Carla Silva,"pai do Theo, torcedor sofredor",2026-08-09 04:00:00,42,44,488,96,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo amanha continuo (31),0
ana_alves,Otavio Silva,professora de historia,2017-07-28 15:00:00,3340,203,319,1342,0,0,"bom dia, cafe e mais um dia de trabalho por aqui depois conto o resto (7)",0
mariana_silva43,Otavio Rocha,"pai do Theo, torcedor sofredor",2020-09-28 10:00:00,2183,540,412,1453,0,0,"chuva forte aqui em Recife hoje, transito parado depois conto o resto (42)",0
lucas_lima52,Ana Souza,musico nos fins de semana,2022-08-05 06:00:00,1507,1637,2331,598,0,0,"vagas limitadas no curso de bolo caseiro, chama no direct pra reservar",0
fernanda_alves,Otavio Souza,,2015-07-06 01:00:00,4094,110,176,316,0,0,opiniao impopular: filme antigo e melhor que remake enfim,0
gustavo_alves89,Nara Silva,"dev backend, cafe e gatos",2026-03-24 15:00:00,179,1606,3304,617,0,0,"obrigada pelas mensagens de aniversario, gente amanha continuo (74)",0
lucro7851511,Promo 999,link na bio https://is.gd/wzz2d1,2026-03-10 14:08:00,193,3,1476,3630,1,0,"GANHE DINHEIRO em casa!!! vagas limitadas, chama no direct agora https://is.gd/wzz2d1",1
ana_silva,Igor Lima,estudante de enfermagem,2019-11-23 10:00:00,2493,5356,5000,112,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio coisa de louco (48),0
fernanda_souza,Igor Silva,musico nos fins de semana,2012-10-10 10:00:00,5093,365,681,136,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal que dia",0
invest9013198,Ganhe 1000,,2026-07-18 13:16:00,63,1,2186,1276,1,0,RENDA EXTRA de R$ 300 por dia!!! clique no link da bio e comece hoje https://tinyurl.com/tct99r,1
lucas_souza76,Lucas Lima,"pai do Theo, torcedor sofredor",2019-11-13 12:00:00,2503,374,821,77,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio valeu quem ajudou,0
bruno_souza,Paula Souza,fotografa e mae de dois,2023-03-02 15:00:00,1297,101,40,402,0,0,"chuva forte aqui em Salvador hoje, transito parado no fim deu certo (28)",0
gustavo_lima,Otavio Alves,professora de historia,2026-04-10 18:00:00,162,154,204,835,0,0,"opiniao impopular: filme antigo e melhor que remake no mais, tudo tranquilo (25)",0
otavio_rocha5,Juliana Alves,"dev backend, cafe e gatos",2026-07-04 20:00:00,77,4,408,224,0,0,opiniao impopular: filme antigo e melhor que remake enfim (58),0
lucas_silva74,Eduardo Souza,"pai do Theo, torcedor sofredor",2013-07-02 22:00:00,4827,186,295,169,0,0,"terminei de ler o livro que a Lucas indicou, valeu a pena recomendo",0
eduardo_rocha48,Bruno Alves,"pai do Theo, torcedor sofredor",2026-07-09 03:00:00,73,4,402,228,0,0,recomendo muito esse restaurante novo no centro de Curitiba,0
rafael_lima3,Otavio Lima,analista de dados em Curitiba,2019-08-29 11:00:00,2579,436,503,224,0,0,"treino feito, 6km hoje. devagar mas chegando ate semana que vem",0
bruno_souza78,Eduardo Silva,professora de historia,2024-12-26 23:00:00,632,201,407,457,0,0,"terminei de ler o livro que a Lucas indicou, valeu a pena no mais, tudo tranquilo (63)",0
fernanda_lima,Carla Alves,musico nos fins de semana,2021-09-12 18:00:00,1833,1050,1368,534,0,0,"treino feito, 6km hoje. devagar mas chegando no mais, tudo tranquilo",0
ganhe1553001,Promo 999,link na bio https://is.gd/xtujg3,2026-02-03 14:06:00,228,16,1162,3079,1,0,"GANHE DINHEIRO em casa!!! vagas limitadas, chama no direct agora https://is.gd/xtujg3",1
bruno_souza,Igor Silva,corredora amadora | 42k,2012-11-13 20:00:00,5058,45,98,411,0,0,"bom dia, cafe e mais um dia de trabalho por aqui no mais, tudo tranquilo (34)",0
helena_souza,Ana Rocha,estudante de enfermagem,2021-09-23 07:00:00,1823,379,260,80,0,0,"vagas limitadas no curso de bolo caseiro, chama no direct pra reservar",0
mariana_alves,Otavio Silva,musico nos fins de semana,2015-03-28 06:00:00,4194,124,266,190,0,0,"bom dia, cafe e mais um dia de trabalho por aqui no mais, tudo tranquilo (56)",0
nara_rocha,Nara Silva,"pai do Theo, torcedor sofredor",2024-11-04 16:00:00,684,920,1564,316,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal no fim deu certo (39)",0
paula_alves31,Eduardo Alves,corredora amadora | 42k,2014-10-25 09:00:00,4348,143,152,466,0,0,"bom dia, cafe e mais um dia de trabalho por aqui recomendo (23)",0
ana6866476,Ana 7712,,2026-07-18 13:38:00,63,12,2299,3582,0,0,Airdrop de cripto liberado! dobre seu investimento em 24h https://is.gd/eu8uym,1
mariana_rocha,Bruno Lima,"dev backend, cafe e gatos",2017-05-08 18:00:00,3421,185,330,147,0,0,recomendo muito esse restaurante novo no centro de Goiania recomendo,0
invest2966485,Ganhe 1000,,2026-02-03 16:12:00,228,7,2183,13529,1,0,"Cupom exclusivo de R$ 200, ultimas vagas, clique no link https://tinyurl.com/pr9u7t",1
bruno_alves,Rafael Souza,musico nos fins de semana,2012-07-04 05:00:00,5191,246,251,640,0,0,promocao de hoje na loja: cupom de 20% pra quem chegar antes do meio dia,0
igor_souza86,Gustavo Silva,professora de historia,2024-08-29 12:00:00,752,296,534,775,0,0,"obrigada pelas mensagens de aniversario, gente amanha continuo",0
carla_souza,Igor Lima,"pai do Theo, torcedor sofredor",2016-08-24 10:00:00,3679,597,989,865,0,0,"obrigada pelas mensagens de aniversario, gente amanha continuo",0
promo722862,Ana 7712,,2026-06-03 14:57:00,108,31,2012,5798,1,0,SEGUIDORES GRATIS!!! siga de volta e me chama no whats https://cutt.ly/lzfebz,1
invest759340,Promo 999,,2026-07-18 13:06:00,63,10,875,1611,1,0,Airdrop de cripto liberado! dobre seu investimento em 24h https://bit.ly/h7w78l,1
mariana_alves,Gustavo Lima,analista de dados em Recife,2021-10-17 14:00:00,1798,201,72,1166,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal ate semana que vem",0
helena_alves15,Eduardo Lima,analista de dados em Salvador,2019-03-08 11:00:00,2753,39,49,346,0,0,opiniao impopular: filme antigo e melhor que remake coisa de louco,0
lucas_souza69,Juliana Silva,musico nos fins de semana,2026-07-12 17:00:00,69,12,407,202,0,0,"bom dia, cafe e mais um dia de trabalho por aqui coisa de louco (27)",0
juliana_lima70,Helena Lima,estudante de enfermagem,2021-06-28 04:00:00,1910,381,202,1190,0,0,"bom dia, cafe e mais um dia de trabalho por aqui ate semana que vem",0
eduardo_lima,Ana Alves,"pai do Theo, torcedor sofredor",2023-01-20 08:00:00,1339,48,52,1090,1,0,recomendo muito esse restaurante novo no centro de Goiania enfim (34),0
otavio_alves,Fernanda Lima,"dev backend, cafe e gatos",2013-07-26 17:00:00,4803,15,24,674,0,0,recomendo muito esse restaurante novo no centro de Belem enfim (11),0
otavio_souza,Diego Alves,corredora amadora | 42k,2019-12-07 11:00:00,2479,49,90,482,0,0,"chuva forte aqui em Salvador hoje, transito parado valeu quem ajudou (65)",0
paula_souza,Mariana Alves,corredora amadora | 42k,2019-11-23 20:00:00,2492,15,31,1096,0,0,"treino feito, 6km hoje. devagar mas chegando que dia (94)",0
fernanda_lima,Igor Lima,,2025-05-04 19:00:00,503,738,771,1624,0,0,"chuva forte aqui em Belem hoje, transito parado amanha continuo (79)",0
lucas_silva,Paula Rocha,professora de historia,2024-06-04 19:00:00,837,407,651,181,1,0,"vagas limitadas no curso de bolo caseiro, chama no direct pra reservar",0
lucas_alves96,Rafael Silva,,2014-08-23 11:00:00,4411,15,29,223,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio no fim deu certo,0
igor_rocha55,Fernanda Alves,corredora amadora | 42k,2018-08-14 21:00:00,2958,1731,657,2214,0,0,"terminei de ler o livro que a Gustavo indicou, valeu a pena",0
fernanda_alves,Fernanda Souza,,2018-07-16 00:00:00,2988,479,171,189,0,0,"terminei de ler o livro que a Igor indicou, valeu a pena coisa de louco (88)",0
carla_silva,Igor Souza,"dev backend, cafe e gatos",2018-04-28 07:00:00,3067,159,67,175,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio (59),0
helena_souza,Fernanda Rocha,,2018-02-01 10:00:00,3153,1043,1215,113,0,0,"vagas limitadas no curso de bolo caseiro, chama no direct pra reservar",0
bruno_alves,Eduardo Lima,"dev backend, cafe e gatos",2017-05-11 08:00:00,3419,183,189,562,0,0,"bom dia, cafe e mais um dia de trabalho por aqui no fim deu certo",0
promo1380432,Invest Bot,link na bio https://tinyurl.com/vx3ml1,2026-02-03 14:30:00,228,9,1877,3731,1,0,"Cupom exclusivo de R$ 200, ultimas vagas, clique no link https://tinyurl.com/vx3ml1",1
ana_alves83,Mariana Lima,"dev backend, cafe e gatos",2019-12-20 22:00:00,2465,214,79,144,0,0,"chuva forte aqui em Belem hoje, transito parado depois conto o resto (57)",0
gustavo_rocha95,Igor Alves,,2016-07-14 11:00:00,3720,111,175,242,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal no mais, tudo tranquilo",0
mariana_lima75,Eduardo Silva,fotografa e mae de dois,2021-06-27 13:00:00,1910,168,279,389,0,0,opiniao impopular: filme antigo e melhor que remake bora pra cima (6),0
bruno_silva97,Otavio Souza,"pai do Theo, torcedor sofredor",2025-07-20 03:00:00,427,189,161,220,0,0,recomendo muito esse restaurante novo no centro de Goiania ate semana que vem,0
fernanda_alves79,Nara Souza,,2015-08-05 11:00:00,4064,459,827,345,0,0,"treino feito, 6km hoje. devagar mas chegando amanha continuo (60)",0
ana_rocha19,Otavio Lima,analista de dados em Goiania,2014-07-12 02:00:00,4453,2119,1507,3019,0,0,"terminei de ler o livro que a Rafael indicou, valeu a pena valeu quem ajudou (69)",0
eduardo_rocha,Fernanda Lima,analista de dados em Curitiba,2014-02-04 12:00:00,4611,149,240,289,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal no fim deu certo",0
bruno_alves,Eduardo Alves,professora de historia,2025-07-14 03:00:00,433,500,613,213,0,0,"obrigada pelas mensagens de aniversario, gente valeu quem ajudou",0
diego_rocha,Nara Rocha,corredora amadora | 42k,2020-09-16 13:00:00,2194,169,184,69,0,1,"chuva forte aqui em Curitiba hoje, transito parado amanha continuo (79)",0
helena_alves23,Juliana Rocha,fotografa e mae de dois,2018-01-17 04:00:00,3168,186,255,952,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal no mais, tudo tranquilo",0
igor_rocha38,Gustavo Rocha,analista de dados em Curitiba,2012-12-05 12:00:00,5037,184,404,1800,0,0,opiniao impopular: filme antigo e melhor que remake depois conto o resto,0
helena_alves,Rafael Silva,"dev backend, cafe e gatos",2017-05-29 13:00:00,3400,523,448,675,0,0,"treino feito, 6km hoje. devagar mas chegando recomendo",0
igor_souza,Paula Souza,estudante de enfermagem,2014-07-31 18:00:00,4433,177,45,330,0,0,"obrigada pelas mensagens de aniversario, gente no mais, tudo tranquilo (41)",0
lucas_rocha,Paula Lima,estudante de enfermagem,2017-11-20 22:00:00,3225,21,37,482,0,0,"terminei de ler o livro que a Igor indicou, valeu a pena que dia (40)",0
paula_souza22,Rafael Rocha,professora de historia,2014-11-25 20:00:00,4316,129,176,117,0,0,"terminei de ler o livro que a Diego indicou, valeu a pena enfim (51)",0
bruno_silva53,Diego Alves,analista de dados em Sao Paulo,2026-07-15 14:00:00,66,20,422,166,0,0,"obrigada pelas mensagens de aniversario, gente no fim deu certo (57)",0
lucas_alves,Diego Silva,"dev backend, cafe e gatos",2018-08-09 19:00:00,2963,491,182,193,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo amanha continuo,0
igor_silva12,Fernanda Souza,"pai do Theo, torcedor sofredor",2024-07-11 21:00:00,800,113,207,234,0,0,"obrigada pelas mensagens de aniversario, gente valeu quem ajudou",0
carla_souza52,Juliana Martins,"pai do Theo, torcedor sofredor",2018-11-09 19:00:00,2871,1052,1516,355,0,0,melhor serie do ano sem discussao ate semana que vem,1
